kernel,n_true,events,seed,fitter,n_events,n_hat,se_n,converged,loglik,ks_stat,ks_p,seconds,beta_hat
exp,0.3,500,14,grid_default_const,466,0.2747982691091987,0.055191177039600435,True,-553.7463549344358,0.030200201105823277,0.7772210352028952,0.012096099992049858,
exp,0.3,500,14,grid_default_spline2min,466,0.2628112348431745,0.05561922146707187,True,-551.9467780834584,0.03296956851444412,0.6789692915196062,0.01821269998617936,
exp,0.3,500,15,exp_true_beta,514,0.3122035374703045,0.043161988471022664,True,-560.4351163500066,0.04683649699021317,0.20304376970843174,0.006284799994318746,
exp,0.3,500,15,exp_profile,514,0.37141022655825684,0.04872619907001892,True,-558.2303352607886,0.03915823507146163,0.3996042808039768,0.12370850000297651,1.2623943882764137
exp,0.3,500,15,grid_decade_const,514,0.39702517736807436,0.05189616718840294,True,-558.7746264070868,0.03553613516362901,0.5233118754897806,0.007992600003490224,
exp,0.3,500,15,grid_default_const,514,0.39375214337969827,0.054558416593793,True,-558.7558517483873,0.03770191193663984,0.4472490313991342,0.013103299992508255,
exp,0.3,500,15,grid_default_spline2min,514,0.3780822543723609,0.05537765425443538,True,-556.7285581282127,0.03733698987820119,0.4596552423176231,0.013404299999820068,
exp,0.3,500,16,exp_true_beta,463,0.31816674743949835,0.04307964616659092,True,-545.8754500381424,0.026865506537816747,0.8827700947911743,0.3654212999972515,
exp,0.3,500,16,exp_profile,463,0.2849945407274337,0.03910111862125956,True,-545.3438316399734,0.029555102957371848,0.8020201677666532,0.1618597999913618,2.7634349755203886
exp,0.3,500,16,grid_decade_const,463,0.3417818318363823,0.05387546616912515,True,-545.4785485781832,0.03137501025946776,0.7398601773224645,0.010585500000161119,
exp,0.3,500,16,grid_default_const,463,0.31567917302523885,0.05788784053606835,True,-544.7750309658934,0.024300916471641454,0.94114260590771,0.010660500003723428,
exp,0.3,500,16,grid_default_spline2min,463,0.30493255066971064,0.05808200823797999,True,-543.3851632183602,0.025655678434308382,0.9129136411734182,0.013929799999459647,
exp,0.3,500,17,exp_true_beta,497,0.31052161634783754,0.04142912292961248,True,-552.856686035249,0.026527768132524665,0.8660504808725968,0.005521800005226396,
exp,0.3,500,17,exp_profile,497,0.3147648129189203,0.04189019842657791,True,-552.8463048381527,0.028287548589980616,0.8104741453609186,0.15659299999242648,1.921745659920742
exp,0.3,500,17,grid_decade_const,497,0.3588897444998839,0.05170984731538647,True,-553.1368202228866,0.031934303963782606,0.679006302903358,0.00986910000210628,
exp,0.3,500,17,grid_default_const,497,0.38572797258407543,0.13715979332957962,True,-551.9605485185183,0.027877604867469374,0.8240587667738931,0.02211689999967348,
exp,0.3,500,17,grid_default_spline2min,497,0.3253414235007721,0.08383955335008025,True,-550.253518335678,0.029180584340187887,0.779788472183239,0.024178400009986944,
exp,0.3,500,18,exp_true_beta,501,0.3105118051761702,0.04208112743056039,True,-555.3730710550839,0.022782640152457234,0.9519127545452006,0.004771400010213256,
exp,0.3,500,18,exp_profile,501,0.301208787648402,0.04099238655190355,True,-555.3151940779347,0.022643134617803984,0.954266690460554,0.13370860001305118,2.189559257898021
exp,0.3,500,18,grid_decade_const,501,0.35210426169247755,0.053130311215894316,True,-556.1232140647928,0.03144370555897702,0.6927023317821357,0.013968300001579337,
exp,0.3,500,18,grid_default_const,501,0.3229272127863642,0.05575294538776105,True,-554.6585617966132,0.025287157506240887,0.8976259719763707,0.01765789999626577,
exp,0.3,500,18,grid_default_spline2min,501,0.30687865384170687,0.056506688997443884,True,-553.0316280645477,0.022387105463225976,0.9584000412299333,0.01967410001088865,
exp,0.3,500,19,exp_true_beta,514,0.27240350142945946,0.04284520410089957,True,-568.4860240340332,0.025616162987284863,0.8798868324515914,0.0049549999966984615,
exp,0.3,500,19,exp_profile,514,0.24531059595823546,0.039078721273004394,True,-568.1329131039389,0.01952728667879744,0.9874793997040158,0.15247739999904297,2.656665416361324
exp,0.3,500,19,grid_decade_const,514,0.28745849218918496,0.055247690672331484,True,-566.487301601126,0.02858143878815944,0.7839813770295032,0.012420600003679283,
exp,0.3,500,19,grid_default_const,514,0.26698598455556294,0.05876483997336587,True,-565.6056310253147,0.022379757077524376,0.953914112586812,0.015815000006114133,
exp,0.3,500,19,grid_default_spline2min,514,0.23688389994548034,0.060696535704023905,True,-562.4974609497491,0.029917408780950172,0.7352866239606488,0.016127499999129213,
exp,0.3,500,20,exp_true_beta,551,0.3474441552097906,0.04182260462333177,True,-553.0349652708363,0.03130353823794768,0.641042381353915,0.00533160001214128,
exp,0.3,500,20,exp_profile,551,0.3282227601166434,0.03991711711280772,True,-552.8256039868473,0.024947013116836725,0.8740579728089176,0.17075279999698978,2.37818109141155
exp,0.3,500,20,grid_decade_const,551,0.3873413406979103,0.05211932863011673,True,-553.9455409198307,0.03259817511038571,0.5900162907996558,0.011007799999788404,
exp,0.3,500,20,grid_default_const,551,0.35742618918591795,0.053624444597432756,True,-551.7899171980229,0.024309678718298255,0.892563609841742,0.015367100000730716,
exp,0.3,500,20,grid_default_spline2min,551,0.3464376165492274,0.05462889603796056,True,-551.193166077443,0.023985186057923935,0.9014458376685313,0.016771399998106062,
exp,0.3,500,21,exp_true_beta,524,0.25944514519016815,0.04181445081075444,True,-570.786798840859,0.029780004116983838,0.7297681256964167,0.005546000000322238,
