scenario,seed,fitter,n_events,n_hat,se_n,mu_mean_hat,converged,condition_number,alpha_slowest_two,n_true,n_true_within_10s,ks_stat,ks_p,lb_stat,lb_p,dispersion_z,dispersion_p,executions_per_event
slow_component_const_mu,23,grid_const,1466,0.7933681055867972,0.0549539865299509,0.5049826082034281,True,91.52175991611408,0.17976087549937722,0.9,0.7896361676485673,0.014375540425317745,0.918029260310531,5.141273853142306,0.8815430623463761,-0.19661253036355594,0.8441307641990901,
slow_component_const_mu,23,grid_spline2min,1466,0.7459378067088285,0.05969028579214749,0.6206802688232094,True,103.05260735091541,0.12928785238623913,0.9,0.7896361676485673,0.014461781220225567,0.9145655092656657,5.376759154589914,0.8646323138342578,-0.2880217422446378,0.7733300956515641,
slow_component_const_mu,23,grid_spline1min,1466,0.6076647688824153,0.03853607922744631,0.9580608960177509,True,55.48459199892283,6.469733983840794e-13,0.9,0.7896361676485673,0.013946806599322958,0.9341045184435819,6.173041569347099,0.8005214839680812,-0.22720822116751027,0.8202618352930195,
slow_component_const_mu,24,grid_const,1597,0.8222078370951462,0.051568878708165754,0.4704042075550353,True,102.08817811263293,0.14771106071206092,0.9,0.7896361676485673,0.02077214446480663,0.48956337249489623,11.524260119168474,0.3181562285343801,-0.5323767144978586,0.5944651093763876,
slow_component_const_mu,24,grid_spline2min,1597,0.769707748352877,0.06291564920296062,0.6112460722099511,True,122.20116135872988,0.08498324539127332,0.9,0.7896361676485673,0.01961219557419136,0.5639788765242264,12.223384444832725,0.2703844146377471,-0.4304197527414427,0.6668903291924395,
slow_component_const_mu,24,grid_spline1min,1597,0.6689672309680518,0.03715989946351551,0.8808922711364926,True,69.5458943642804,6.028722326742258e-13,0.9,0.7896361676485673,0.017142246688473084,0.7291908049939055,12.47531948047661,0.25450326999653394,-0.3653647389235244,0.7148391588000539,
slow_component_const_mu,25,grid_const,2772,0.9190809605191744,0.03503252137120108,0.3753106072774462,True,109.32424348579426,0.24631476178196232,0.9,0.7896361676485673,0.014435710389449824,0.6050345456894926,3.9653084312679954,0.9488984077004411,0.17001203703010145,0.8650006702813777,
slow_component_const_mu,25,grid_spline2min,2772,0.7555934625333006,0.05831787547309938,1.1273460778171172,True,144.79734144012127,0.07843834055869314,0.9,0.7896361676485673,0.014502056682830833,0.5991888385432319,4.709787129442818,0.9097026200313099,0.43906738686322816,0.6606127093275921,
slow_component_const_mu,25,grid_spline1min,2772,0.6524655409484728,0.03547602084324839,1.6024723516240804,True,72.07702805133118,3.4653085627883614e-13,0.9,0.7896361676485673,0.01672578126747895,0.4155422180357349,4.706077117222043,0.9099280545444393,0.2537881160627983,0.7996592549439686,
slow_component_const_mu,26,grid_const,2652,0.944119627414727,0.024657648421055365,0.22512585832217535,True,737.5582562316415,0.2690615817593415,0.9,0.7896361676485673,0.013975483865403926,0.6728354661596618,6.236184570650165,0.7950449949794027,0.5339250397121741,0.5933933972509828,
slow_component_const_mu,26,grid_spline2min,2652,0.7288891662924847,0.06459367347523164,1.191094069529767,True,1007.9672809157651,0.06565754976195681,0.9,0.7896361676485673,0.012848568350651901,0.7686285133748467,7.470442062870688,0.6804100683316101,0.560276717499611,0.5752907056482042,
slow_component_const_mu,26,grid_spline1min,2652,0.6724762063491235,0.0360112776388381,1.4436420546662192,True,70.41975706441654,2.906654036345295e-13,0.9,0.7896361676485673,0.013594300770420509,0.7057702722611829,6.231672681216451,0.795437969234087,0.4785224714944756,0.6322783841857296,
slow_component_const_mu,27,grid_const,2064,0.9033608128185896,0.03829942618879156,0.331292738775486,True,85.62386019221299,0.3371107942830637,0.9,0.7896361676485673,0.01773251495271083,0.5291689524393476,4.811081478322847,0.9034352714372293,-0.4212740374462043,0.6735549862697819,
slow_component_const_mu,27,grid_spline2min,2064,0.6349269103876559,0.07466347332250624,1.2569292427656382,True,877.4959309484467,0.06520732940142919,0.9,0.7896361676485673,0.015133846113597915,0.7258684351689022,3.5649288156541146,0.9648476233713303,-0.5244005682349894,0.5999999613873808,
slow_component_const_mu,27,grid_spline1min,2064,0.5754737054754193,0.03747363368384239,1.4616098635712682,True,53.11138542147207,4.266710554944166e-13,0.9,0.7896361676485673,0.016341991697517988,0.6337858917003429,4.812854178368527,0.9033236726808063,-0.45182774072507065,0.6513930835122784,
slow_component_const_mu,28,grid_const,2354,0.8537434595944802,0.05095926088998489,0.567661360869639,True,858.7852243458394,0.27697645566278056,0.9,0.7896361676485673,0.016013077379428697,0.5764514901029854,6.299619214195573,0.7894937496843026,0.4919559003614643,0.6227505192456128,
slow_component_const_mu,28,grid_spline2min,2354,0.7984896485574946,0.05917057275213155,0.7857743446634177,True,1001.5001389476935,0.2484455541931423,0.9,0.7896361676485673,0.015186546808188983,0.6436403680634877,6.466261419283962,0.7746880898144668,0.48860240282096057,0.6251232115678066,
slow_component_const_mu,28,grid_spline1min,2354,0.7558679120754869,0.07076395511239125,0.9540197313217665,True,1151.5393757849095,0.20310506070853815,0.9,0.7896361676485673,0.016821722975737474,0.5126593849081273,7.331704255303921,0.6938026688512419,0.4833077470022104,0.6288772401933573,
slow_component_const_mu,29,grid_const,2231,0.9074162005812609,0.035930303836170595,0.3750946773530235,True,94.70489864544645,0.18886305572934073,0.9,0.7896361676485673,0.017169534183283708,0.5207757955217447,7.424108699250339,0.6848909576073354,-0.7194618738268197,0.4718563853784078,
slow_component_const_mu,29,grid_spline2min,2231,0.7892890619301869,0.051436259475917956,0.7989310118062274,True,115.44689949397579,0.07266703258351907,0.9,0.7896361676485673,0.016597471619458015,0.5646810651652192,7.752536819607136,0.6529943281071158,-0.6752681081430713,0.4995054420399653,
slow_component_const_mu,29,grid_spline1min,2231,0.6839494768156268,0.03495243895569633,1.1803132629760202,True,63.942812175883866,3.472009571890832e-13,0.9,0.7896361676485673,0.014955861586098018,0.6946820779627662,6.737231580548931,0.7499971538047493,-0.6814510346274663,0.4955861398155217,
sweeps_unmerged,0,grid_const,2890,0.7363838018960671,0.02578091326858883,1.269850237588487,True,40.19841165105544,3.7042229194272604e-13,0.6,0.6,0.3285559511663121,2.204171053667378e-278,40.74898024386577,1.2499109900094947e-05,6.173112832910276,6.695839005731228e-10,1.4791666666666667
sweeps_unmerged,0,grid_spline2min,2890,0.7263094305604727,0.026059920246693773,1.318356321575525,True,46.098738908139744,3.7042229194272604e-13,0.6,0.6,0.3285559507952706,2.2041743235957458e-278,41.51644940719808,9.139445285275539e-06,6.1445748087109395,8.017799610931749e-10,1.4791666666666667
sweeps_unmerged,0,grid_spline1min,2890,0.7232872202096068,0.026254861209574203,1.332906724274187,True,46.37868679212391,3.7042229194272604e-13,0.6,0.6,0.3285559507937077,2.204174337369476e-278,41.953222878273706,7.643756774530021e-06,6.1413819718704525,8.180659986604877e-10,1.4791666666666667
sweeps_unmerged,1,grid_const,3315,0.7453453839257839,0.024473971715773753,1.4078810652579539,True,43.261503046242424,3.1912509222492237e-13,0.6,0.6,0.3461317986817241,0.0,40.833194541797525,1.2077768547630816e-05,8.246701675488694,1.6282623079216597e-16,1.5204731574158326
sweeps_unmerged,1,grid_spline2min,3315,0.735847758203471,0.0245942999872872,1.460333032196987,True,49.02902865355919,3.1912509222492237e-13,0.6,0.6,0.34613180049312436,0.0,43.27019901969321,4.44919224248182e-06,8.1394950823649,3.9692972220278973e-16,1.5204731574158326
sweeps_unmerged,1,grid_spline1min,3315,0.7293583452427307,0.0249690976717157,1.4961717714871987,True,50.122694585723444,3.1912509222492237e-13,0.6,0.6,0.3461317996842687,0.0,41.94474131623124,7.670357581909372e-06,8.150604199352692,3.6211047505227036e-16,1.5204731574158326
sweeps_unmerged,2,grid_const,2674,0.7022414047787021,0.025922072829619173,1.3213946464562856,True,39.88959903578891,3.7312238932337294e-13,0.6,0.6,0.31360583413549403,3.3774914534160394e-234,19.07809728390072,0.03928186788334291,5.608384239244605,2.0422422548414276e-08,1.465282505105514
sweeps_unmerged,2,grid_spline2min,2674,0.6944978648097055,0.026377499570905974,1.3560629918173135,True,45.64579037334871,3.7312238932337294e-13,0.6,0.6,0.31360583389579444,3.377494298354932e-234,17.580434435811014,0.062467210759201156,5.608033332920966,2.0463862099749326e-08,1.465282505105514
sweeps_unmerged,2,grid_spline1min,2674,0.6860258708636375,0.02677399460969824,1.394028450053634,True,46.65532331243146,3.7312238932337294e-13,0.6,0.6,0.31360583377524837,3.3774957290892173e-234,18.156122293756738,0.052386496363541465,5.457743978582009,4.822222905183496e-08,1.465282505105514
sweeps_unmerged,3,grid_const,3257,0.7486107820019432,0.048319982301216605,1.3636647371658122,True,128.063088099686,0.028531101020451387,0.6,0.6,0.32774567866615717,4.351277966875e-312,40.56829807272416,1.3452669789598766e-05,6.778781395771937,1.2119373960810257e-11,1.4886540254895866
sweeps_unmerged,3,grid_spline2min,3257,0.7201075554495483,0.025663143426993787,1.5186026498262732,True,51.147880086174425,3.24243067803989e-13,0.6,0.6,0.32774567842745383,4.351282634234e-312,39.275882180386326,2.2713852986535833e-05,6.842671977034301,7.772950197639641e-12,1.4886540254895866
sweeps_unmerged,3,grid_spline1min,3257,0.7145565204988061,0.025644063247159087,1.5487494068984977,True,51.01875255449223,3.24243067803989e-13,0.6,0.6,0.32774567777227,4.35129544503e-312,38.50541972740931,3.098256716459863e-05,6.737549324515191,1.6108026865676985e-11,1.4886540254895866
sweeps_unmerged,4,grid_const,2801,0.7020098276084275,0.05334260678781051,1.3921514982508527,True,127.25142824153365,0.008557436846432504,0.6,0.6,0.3211537159236247,1.5963410528536919e-257,17.528117151790592,0.0634648099968749,5.393370933712414,6.914799933450771e-08,1.4612926136363635
sweeps_unmerged,4,grid_spline2min,2801,0.6727165888620467,0.0277726848714013,1.5286038370370114,True,47.911374545095505,3.810465940894485e-13,0.6,0.6,0.3211537149004364,1.5963472247210723e-257,17.80773958874767,0.058294707067131316,5.5278244721523375,3.242261977368829e-08,1.4612926136363635
sweeps_unmerged,4,grid_spline1min,2801,0.6600340377287026,0.028049351531347702,1.5877458522092889,True,48.47845641493402,3.810465940894485e-13,0.6,0.6,0.32115371531055287,1.5963447508975237e-257,17.638096539774065,0.06138404601288183,5.533773018113533,3.134145142006603e-08,1.4612926136363635
sweeps_unmerged,5,grid_const,2825,0.6938437741046029,0.02568267103462521,1.4407358141314246,True,38.7230436619098,3.6702143377240893e-13,0.6,0.6,0.3322234612160986,2.1353364751559638e-278,40.2226690063037,1.5481074881627893e-05,5.610274398964442,2.0200605563942085e-08,1.488059199461823
sweeps_unmerged,5,grid_spline2min,2825,0.6802273425370615,0.02613523796020213,1.5048931926687692,True,44.93377175294657,3.6702143377240893e-13,0.6,0.6,0.33222346230912986,2.135327239975105e-278,39.56977096695767,2.0169959045614004e-05,5.481202080532836,4.22445617923275e-08,1.488059199461823
sweeps_unmerged,5,grid_spline1min,2825,0.6766800828823689,0.026192326958389855,1.5216057807597918,True,45.02737290461396,3.6702143377240893e-13,0.6,0.6,0.3322234627753959,2.1353233004375197e-278,37.75351473445701,4.1889525472395304e-05,5.459172006221375,4.7836015939119094e-08,1.488059199461823
sweeps_unmerged,6,grid_const,2749,0.6756860249270645,0.027577778397699867,1.4847725091476807,True,61.30601943654493,3.8336821523662193e-13,0.6,0.6,0.3145031072761459,3.663130893603279e-242,23.386587053737458,0.009406142491780047,6.415119548912668,1.407123960397419e-10,1.477832512315271
sweeps_unmerged,6,grid_spline2min,2749,0.6650525235484855,0.027824688227689635,1.5335735872936562,True,68.67161687278042,3.8336821523662193e-13,0.6,0.6,0.3145031071837898,3.6631321196428486e-242,23.15359327538408,0.010193619678108314,6.276061845011121,3.472561024057672e-10,1.477832512315271
sweeps_unmerged,6,grid_spline1min,2749,0.6585302375112533,0.027847226965695235,1.563506525846738,True,68.47096797309663,3.8336821523662193e-13,0.6,0.6,0.314503107192656,3.66313200194292e-242,22.475901798512922,0.01285548261628498,5.9759297701074185,2.2878155105411388e-09,1.477832512315271
sweeps_unmerged,7,grid_const,2587,0.6636040199769565,0.027667907156943904,1.451092630161654,True,37.36194251968153,4.0940689258810234e-13,0.6,0.6,0.33072034290139374,1.261686303768036e-252,33.54544901610687,0.0002204552964071867,5.883752243619463,4.0106808079536306e-09,1.4911764705882353
sweeps_unmerged,7,grid_spline2min,2587,0.658701442836962,0.027838323028079773,1.4722311941413968,True,42.321572804757665,2e-12,0.6,0.6,0.3307203429367445,1.2616861429664432e-252,34.02115249023041,0.00018318055588001917,5.827032554125053,5.642160957901759e-09,1.4911764705882353
sweeps_unmerged,7,grid_spline1min,2587,0.6535130299063562,0.02787674848942069,1.4946018673164294,True,42.53622078198782,4.0940689258810234e-13,0.6,0.6,0.3307203428023888,1.261686754116038e-252,34.94423467456392,0.0001276309212774482,5.6707453933529965,1.4217756028509037e-08,1.4911764705882353
sweeps_unmerged,8,grid_const,2877,0.6687354661225916,0.027684479622121498,1.5877944166132367,True,45.007511265388494,3.7585983358451995e-13,0.6,0.6,0.32621837981421575,4.1499451547550026e-273,30.333870341166243,0.0007552645420551899,5.920295657035098,3.213633639591748e-09,1.5073959408324733
