fitter,t0,t1,t_mid,n_events,n,n_within_10s,mu_mean,converged,loglik_per_event,gain_over_poisson_per_event,ks_stat,ks_p,lb_stat,lb_p,dispersion_z,dispersion_p,fit_seconds,heldout_gain_over_poisson_per_event,heldout_gain_kernel_only_per_event,heldout_n_events,boot_n,boot_mean,boot_sd,boot_lo,boot_hi,kernel_phi,mu_grid,boot_abandoned
neural_const,37200.0,37800.0,37500.0,3500,0.6898065393929675,0.6794059670900043,1.7876720765163523,True,2.2718386742161103,1.5082500819547515,0.0272302683172892,0.0109332300282482,27.26985534394366,0.0023601285978335,1.7863195797289082,0.0740475284384501,175.86670770001365,1.2216619957975183,1.1372996306814676,2371,20,0.5891319734956797,0.0392533120826976,0.5353515783053245,0.6654174768073183,1.9451e+03 1.2084e+03 5.2137e+02 1.6452e+02 6.0260e+01 1.7773e+01 4.7957e+00 9.2296e-01 2.3814e-01 7.4854e-02 2.0467e-02 3.8480e-03 4.2645e-04 0.0000e+00,1.7877 1.7877 1.7877 1.7877 1.7877 1.7877 1.7877 1.7877 1.7877 1.7877 1.7877 1.7877 1.7877,
neural_const,37500.0,38100.0,37800.0,3131,0.6891185202012591,0.6501917963767258,1.625901415218169,True,1.8790630190226572,1.226884952912398,0.019841726727391,0.1676253821226716,14.27337113365076,0.160883502495305,0.6278199456172032,0.5301218983984883,202.4767613000004,1.193975401795261,1.1511537146511936,2334,20,0.567928508505967,0.0697841902303022,0.4703210302782332,0.6669792284344365,1.4416e+03 9.3004e+02 4.6097e+02 1.5268e+02 5.4288e+01 1.7880e+01 4.7657e+00 6.6678e-01 1.8082e-01 7.2686e-02 2.6680e-02 7.7319e-03 1.5883e-03 0.0000e+00,1.6259 1.6259 1.6259 1.6259 1.6259 1.6259 1.6259 1.6259 1.6259 1.6259 1.6259 1.6259 1.6259,
neural_const,37800.0,38400.0,38100.0,2371,0.797163651635533,0.6550922687518058,0.7776559709692186,True,1.5291276916333938,1.1549902607841347,0.0171023159483254,0.4865792240405395,12.684806827665042,0.2418323514672879,-0.3763914955045125,0.7066258675615449,105.10075129999314,1.2084860492015193,1.1910210223029614,2876,20,0.5191412197583661,0.1299666909500258,0.4131521863111985,0.7472117444528589,1.4151e+03 9.0219e+02 4.4285e+02 1.5687e+02 4.5761e+01 1.3540e+01 4.3197e+00 5.1790e-01 1.8651e-01 7.3115e-02 3.2117e-02 1.4565e-02 5.4868e-03 0.0000e+00,0.7777 0.7777 0.7777 0.7777 0.7777 0.7777 0.7777 0.7777 0.7777 0.7777 0.7777 0.7777 0.7777,
neural_const,38100.0,38700.0,38400.0,2334,0.7969192293754178,0.6856179032375036,0.7920307579859843,True,1.52157065165971,1.1631614940293549,0.0172000364250216,0.4893404904090601,9.901966973449902,0.449135822116871,-0.1331906607239224,0.894042596703831,90.81373699998947,1.4843839802502818,1.4664658005989628,2850,20,0.6712346635366275,0.1157822176057006,0.5034541087870699,0.7839776850565086,1.4752e+03 9.0687e+02 4.0825e+02 1.3919e+02 4.9327e+01 1.0801e+01 4.8560e+00 1.1375e+00 2.3669e-01 7.8952e-02 3.2194e-02 1.3186e-02 4.3713e-03 0.0000e+00,0.7920 0.7920 0.7920 0.7920 0.7920 0.7920 0.7920 0.7920 0.7920 0.7920 0.7920 0.7920 0.7920,
neural_const,38400.0,39000.0,38700.0,2876,0.7516593148923346,0.6873978067730517,1.1800644710654002,True,1.7789832283104214,1.2117571646856304,0.0213276681923859,0.1440036409699002,12.430050562697769,0.2573049913410633,0.4900349525037558,0.6241091657901674,110.81912460000603,1.6262847949463175,1.623430190432393,2530,20,0.6157227316416549,0.0688106946279152,0.5354846245124045,0.7326496535299434,1.6761e+03 1.0120e+03 4.0036e+02 1.2945e+02 4.5429e+01 1.2781e+01 6.1241e+00 1.4040e+00 2.8595e-01 7.7840e-02 2.5047e-02 8.5846e-03 2.5403e-03 0.0000e+00,1.1801 1.1801 1.1801 1.1801 1.1801 1.1801 1.1801 1.1801 1.1801 1.1801 1.1801 1.1801 1.1801,
neural_const,38700.0,39300.0,39000.0,2850,0.7489192130920825,0.7292838310413579,1.1841012997261535,True,2.035005898972558,1.4768612809260084,0.0137124065106204,0.6522212377140673,26.026738485546023,0.0037043901016869,-0.0092361046770707,0.992630759449306,130.13000020000618,1.643473944667271,1.632682525779288,2443,20,0.6976476122286571,0.0377742274288665,0.6202371442947292,0.7427626218904434,1.6676e+03 1.0447e+03 4.9198e+02 1.6670e+02 4.9455e+01 1.5313e+01 6.5687e+00 1.1299e+00 2.1699e-01 8.5146e-02 3.5238e-02 7.6386e-03 7.9540e-04 0.0000e+00,1.1841 1.1841 1.1841 1.1841 1.1841 1.1841 1.1841 1.1841 1.1841 1.1841 1.1841 1.1841 1.1841,
neural_const,39000.0,39600.0,39300.0,2530,0.7292360896348401,0.7204714222294064,1.1542996988995786,True,2.0762908467453203,1.637245920239901,0.0145148442482926,0.6552076675564915,33.73474768326497,0.0002048075175684,-0.4881524851339481,0.6254418372568741,104.4204044000071,1.6052805296602817,1.6050722688587102,2624,20,0.675800798637326,0.0360916018568611,0.6127437611284945,0.7326908959025062,1.6299e+03 1.0544e+03 5.3283e+02 1.7875e+02 5.5084e+01 1.5992e+01 6.4619e+00 8.8555e-01 2.0471e-01 7.7456e-02 3.3028e-02 6.4479e-03 3.3099e-04 0.0000e+00,1.1543 1.1543 1.1543 1.1543 1.1543 1.1543 1.1543 1.1543 1.1543 1.1543 1.1543 1.1543 1.1543,
neural_const,39300.0,39900.0,39600.0,2443,0.7092825303010232,0.6834697273699882,1.2063900101053764,True,2.042228098527965,1.6381756824863716,0.0116095372454908,0.8930187886454264,23.19849445927924,0.0100371452236517,-0.2875108880866474,0.7737211662317467,88.27821600000607,1.6181360238180265,1.6178873174662327,2548,20,0.6308152988529512,0.0492387291341041,0.5483846489538823,0.6831708151984957,1.9330e+03 1.1803e+03 4.8234e+02 1.6082e+02 6.0605e+01 1.6626e+01 6.3856e+00 9.4448e-01 1.7656e-01 5.9001e-02 2.1156e-02 5.7878e-03 1.0575e-03 0.0000e+00,1.2064 1.2064 1.2064 1.2064 1.2064 1.2064 1.2064 1.2064 1.2064 1.2064 1.2064 1.2064 1.2064,
neural_const,39600.0,40200.0,39900.0,2624,0.72801124917629,0.6764884840360025,1.178580095135744,True,2.088457110718341,1.612931615870508,0.0205478555224645,0.2148968853855719,27.09052718953476,0.0025198132006761,0.0779918911884997,0.937834503239976,118.39394360000732,1.6765239453866545,1.6238964964376692,1914,20,0.5564879588027325,0.0498625424816569,0.5077731931132995,0.6726194502087502,2.2922e+03 1.2632e+03 4.5401e+02 1.5896e+02 6.0422e+01 1.5573e+01 5.6416e+00 7.7155e-01 1.8131e-01 5.9764e-02 2.0826e-02 7.1801e-03 2.0494e-03 0.0000e+00,1.1786 1.1786 1.1786 1.1786 1.1786 1.1786 1.1786 1.1786 1.1786 1.1786 1.1786 1.1786 1.1786,
neural_const,39900.0,40500.0,40200.0,2548,0.7642128704190263,0.6739514561445846,0.9984365708907168,True,2.071688021074852,1.6255536595989435,0.0190297844363925,0.3107548380970291,41.995356606619445,7.512957277155074e-06,0.7996622580469739,0.4239065055830689,108.8713445000176,1.4275099463424654,1.2752684342184448,1531,20,0.6374201236390096,0.0651311831937514,0.5135555302446748,0.69633285545967,1.9757e+03 9.7916e+02 4.8460e+02 1.6560e+02 4.9076e+01 1.6520e+01 4.5315e+00 9.7497e-01 2.0282e-01 5.3256e-02 1.9352e-02 8.5383e-03 3.4289e-03 0.0000e+00,0.9984 0.9984 0.9984 0.9984 0.9984 0.9984 0.9984 0.9984 0.9984 0.9984 0.9984 0.9984 0.9984,
