kernel,fitter,n_true,events,mean,sd,bias,rmse,mean_se,coverage95,ks_reject5,converged,mean_events,seconds
mixture,grid_default_const,0.6,5000,0.6077516012796537,0.03894636885560462,0.00775160127965365,0.03932646153030808,0.043080874650078343,0.96,0.0,1.0,5021.06,0.06208739200053969
mixture,grid_default_spline2min,0.6,5000,0.5894815839872148,0.03520353786848096,-0.01051841601278513,0.036402477557254745,0.03546566498500861,0.94,0.0,1.0,5021.06,0.08548193000082392
mixture,exp_profile,0.9,500,0.8455179388636186,0.06296068884374502,-0.05448206113638141,0.08278322510360239,0.04220935419601297,0.88,0.96,1.0,557.7,0.15659572800039315
mixture,grid_decade_const,0.9,500,0.8979546205033887,0.05200664396209614,-0.002045379496611315,0.05152456475470107,0.044387221919712,0.98,0.0,1.0,557.7,0.0156902379982057
mixture,grid_default_const,0.9,500,0.8978980697716795,0.05264163146322103,-0.0021019302283203987,0.05215492926399305,0.0444450849386045,0.96,0.0,1.0,557.7,0.046359468000591736
mixture,grid_default_spline2min,0.9,500,0.8913900226719885,0.05455339950581489,-0.008609977328011529,0.05468714327222711,0.044229149535540024,0.96,0.0,1.0,557.7,0.3143227460005437
mixture,exp_profile,0.9,2000,0.8208962816192262,0.030446001650456467,-0.07910371838077389,0.08465115532486482,0.02131772685389531,0.12,1.0,1.0,2008.26,0.17662886799982516
mixture,grid_decade_const,0.9,2000,0.8991478571390082,0.020883116505466908,-0.0008521428609917469,0.020690785662628303,0.023901032768224115,0.98,0.0,1.0,2008.26,0.017469817998935468
mixture,grid_default_const,0.9,2000,0.8994977772639666,0.020962643389434734,-0.0005022227360333842,0.020758034521402766,0.023765852731229484,0.98,0.0,1.0,2008.26,0.046059193999681156
mixture,grid_default_spline2min,0.9,2000,0.8948086013991294,0.02220581091311375,-0.005191398600870547,0.0225873127435714,0.023622959071912725,0.96,0.0,1.0,2008.26,0.21320419799827506
mixture,exp_profile,0.9,5000,0.7968243068741213,0.023648511831244827,-0.10317569312587863,0.10579834933306546,0.014084072897592672,0.0,1.0,1.0,4893.66,0.23323765799956164
mixture,grid_decade_const,0.9,5000,0.8975474546229407,0.014840027700266416,-0.0024525453770593186,0.0148941892202401,0.01761076827521671,0.96,0.0,1.0,4893.66,0.022753101999114733
mixture,grid_default_const,0.9,5000,0.898035103528087,0.014627431902157281,-0.001964896471913009,0.014613122421869304,0.017446903332021278,0.96,0.0,1.0,4893.66,0.06314689799939516
