fitter,t0,t1,t_mid,n_events,n,se_n,mu_mean,converged,condition_number,beta_exp,alpha,timescales,edge_window,loglik_per_event,gain_over_poisson_per_event,ks_stat,ks_p,lb_stat,lb_p,dispersion_z,dispersion_p,heldout_gain_over_poisson_per_event,heldout_gain_kernel_only_per_event,heldout_n_events,boot_n,boot_mean,boot_sd,boot_lo,boot_hi
mix_const,55200.0,55800.0,55500.0,2040,0.7698866788825424,0.039475850822821915,0.7993067077444449,True,40.164296288290984,,0.02851 0.06505 0.04468 0.00000 0.16236 0.00000 0.21109 0.04062 0.00000 0.00000 0.04491 0.00000 0.17268,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,False,2.1776716901953495,1.953896258573234,0.041617236864651685,0.001656413814644582,21.354633962506792,0.01875199716227782,1.1674984863835962,0.24300911921824853,1.614374995946523,1.612887358526989,2351,100,0.7539815236078294,0.04741088407430258,0.655837623803993,0.831618344461618
mix_const,55500.0,56100.0,55800.0,2207,0.7860344407244322,0.036111582863590716,0.7930371668074591,True,59.25679239069462,,0.03804 0.03239 0.06087 0.00000 0.16921 0.00000 0.20747 0.01985 0.00026 0.00000 0.07265 0.00000 0.18529,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,False,2.137525679630404,1.8350659285898143,0.03264218823368159,0.017731139938433192,15.698120367446679,0.10860631236314586,1.5355386504837765,0.12465157069155786,1.6558784513788127,1.6612806553298867,2176,100,0.7586909089694025,0.04643897989709532,0.6636338300970188,0.8511842481616543
mix_const,55800.0,56400.0,56100.0,2351,0.6843179101183264,0.04250932347640549,1.230796840523409,True,440.2363750245018,,0.04993 0.02416 0.06801 0.00169 0.15424 0.00000 0.14663 0.01415 0.01857 0.00000 0.06435 0.09504 0.04755,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,False,1.9901896959579664,1.624523302634043,0.021110434474997053,0.24215732067514162,25.260282166343764,0.0048733807785359805,0.9428071110524161,0.3457795737877303,1.4250889734038006,1.4126536847634685,2840,100,0.6739210483453779,0.0477266906330566,0.5890185976977274,0.7612845344389839
mix_const,56100.0,56700.0,56400.0,2176,0.6214709564566251,0.05324158304073458,1.3735237072742639,True,1099.8628731538975,,0.07053 0.02511 0.04453 0.06497 0.09531 0.00000 0.13267 0.00000 0.01986 0.00803 0.00937 0.05947 0.09162,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,False,1.974603496385137,1.6862895436254504,0.02250134417544003,0.2172675359886822,32.740909907922806,0.0003010773295667016,0.01096515094805395,0.9912512506689946,1.65468565074023,1.4834628478071226,4313,100,0.6125482401535141,0.05933229769641629,0.5151814774902981,0.7203819527598679
mix_const,56400.0,57000.0,56700.0,2840,0.7685482588429717,0.037279035650546744,1.112226140695464,True,196.68094550553383,,0.03663 0.04290 0.00000 0.08052 0.08935 0.05071 0.13501 0.00000 0.02376 0.03604 0.03283 0.00000 0.24080,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,True,1.9728290815903293,1.4181994056512242,0.0230626178833776,0.09598495876364466,14.828580258613925,0.13843761715296193,0.36652416360888634,0.7139739852451488,1.675462672056282,1.434578296805201,6265,100,0.7474305312081151,0.060010013450786256,0.6383688162478923,0.8436109453755885
mix_const,56700.0,57300.0,57000.0,4313,0.7475607045287835,0.02627601256071412,1.8171081703111693,True,267.1829575425432,,0.01886 0.03832 0.00000 0.09242 0.14450 0.00000 0.18034 0.02874 0.03811 0.02215 0.07076 0.00000 0.11335,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,True,2.4989006119658184,1.5264412705341215,0.01404042821917581,0.3596562788195047,112.28370537057741,1.8463986190818134e-19,-0.6533861873556546,0.5135073413149779,,,0,100,0.7252870102521461,0.04547639132678941,0.6306605173876378,0.8130099427496295
mix_const,57000.0,57600.0,57300.0,6265,0.9381642100617873,0.023206583680427415,0.8433289287556165,True,130.83950141260894,,0.03084 0.02233 0.04094 0.05527 0.14361 0.00000 0.17994 0.04692 0.04509 0.00000 0.12091 0.00000 0.25233,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,True,2.7963247638651243,1.450520551751102,0.01351854742106992,0.20053639727273775,111.70396263319009,2.4176230567309256e-19,-0.09792003342012648,0.9219957920641351,,,0,100,0.9264442025227028,0.02767701550366808,0.8587538237046407,0.9677448707153312
mix_spline,34200.0,34800.0,34500.0,2800,0.5634967859775956,0.028900311737682805,2.0380640051505865,True,311.2944400879118,,0.00414 0.02312 0.01568 0.04162 0.10297 0.00000 0.19729 0.00061 0.02546 0.07193 0.08069 0.00000 0.00000,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,True,1.4701167195213793,0.9296716785742303,0.018466288029496625,0.2917343254040362,10.051678897987443,0.4359710805190498,0.5089306217448253,0.6108008550226386,1.1833670979155357,1.1786628448252243,2441,100,0.563913859347908,0.03641104295986706,0.4948211896588558,0.6360691730604128
mix_spline,34500.0,35100.0,34800.0,2415,0.5714087019517667,0.06402201373975551,1.7234491842819488,True,105.44988770412984,,0.00630 0.02570 0.03837 0.00384 0.11677 0.00000 0.15635 0.04031 0.00000 0.15685 0.00000 0.00000 0.02692,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,True,1.3933941492309254,1.0008692383603985,0.01588032900295777,0.5707675010149482,13.48709483030166,0.19769774078687646,1.3046321818895432,0.19201812446238609,1.1126376113987433,1.1121926859490117,2317,100,0.5593335726947242,0.0324882011571863,0.5039593982439597,0.6248134350351462
mix_spline,34800.0,35400.0,35100.0,2441,0.6537049884656069,0.05879330237157263,1.409765318722914,True,252.1371223021101,,0.02669 0.00339 0.05018 0.03489 0.10204 0.03040 0.12246 0.00708 0.10013 0.04542 0.00000 0.00000 0.13103,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,True,1.595429044433435,1.1921956292566211,0.023957664754374886,0.11940177155121856,20.2922692286332,0.02660640396517413,2.768178123568957,0.005637063724433459,1.3706992770126558,1.3084441389702812,3575,100,0.5757046728442592,0.04941746840027296,0.5014797588904772,0.6955948616311377
