family,variant,fitter,t0,t1,t_mid,n_events,n,se_n,mu_mean,converged,condition_number,beta_exp,alpha,timescales,edge_window,loglik_per_event,gain_over_poisson_per_event,ks_stat,ks_p,lb_stat,lb_p,dispersion_z,dispersion_p,heldout_gain_over_poisson_per_event,heldout_gain_kernel_only_per_event,heldout_n_events
base,merge 0 (identical ts),mix_const,40800.0,41400.0,41100.0,1551,0.6232238434147522,0.059431910076557265,0.9737059381846355,True,64.72384040271835,,0.04445 0.00000 0.07294 0.03048 0.08865 0.00000 0.14068 0.00000 0.06843 0.00000 0.08632 0.00000 0.09128,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,False,1.3214953266263727,1.3717698186659804,0.019267135262750146,0.6053662993332218,7.865900995028417,0.6419337088354932,-0.5443879209111877,0.5861745561566252,1.2002807941480633,1.1948277086381407,1745
base,merge 0 (identical ts),mix_const,41100.0,41700.0,41400.0,1858,0.7766735643780585,0.04480753179129244,0.6906060613905771,True,137.24521178113952,,0.03834 0.00000 0.09868 0.00000 0.09369 0.00000 0.13858 0.03647 0.06149 0.00000 0.00000 0.16418 0.14524,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,False,1.4781733009620022,1.3478470368043647,0.01821788102957278,0.5619666940554546,12.479717380183631,0.2542322893451189,-0.33591616666255975,0.7369340855100803,1.280354303874622,1.195709985348036,1263
base,merge 0 (identical ts),mix_const,41400.0,42000.0,41700.0,1745,0.7574034449551773,0.04419220988564497,0.7118099270472313,True,179.54173080109422,,0.02822 0.00000 0.07543 0.00000 0.11406 0.00000 0.15043 0.00000 0.06227 0.01162 0.00000 0.22604 0.08933,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,False,1.2736269372865179,1.2060467578661367,0.024886980151248683,0.22616513156482232,17.25141295473821,0.06898269357130986,0.14187260654350115,0.8871806322294038,1.6131651483327643,1.589718679867587,1390
base,merge 0 (identical ts),mix_const,41700.0,42300.0,42000.0,1263,0.5452434703428537,0.04894753787390127,0.9574665296379314,True,48.27093656859014,,0.05606 0.00000 0.05721 0.00000 0.10065 0.00000 0.12435 0.00000 0.01545 0.03198 0.00000 0.15955 0.00000,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,False,0.9576431999321531,1.2133277327978085,0.01819344868169953,0.7901717640959185,7.111498098301853,0.7148785973493311,-0.3235810087669707,0.7462552678564609,1.514923548639196,1.5083082947408148,1429
base,merge 0 (identical ts),mix_const,42000.0,42600.0,42300.0,1390,0.5889664066386388,0.05474385109320291,0.9498539877339888,True,111.3975036698459,,0.05086 0.02567 0.05628 0.00000 0.11456 0.00000 0.16209 0.01227 0.05040 0.00000 0.00000 0.10310 0.01372,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,False,1.44895917944881,1.6088298085402188,0.01918542257736494,0.6782433428841086,15.818774523700005,0.10493904044546434,0.2509523314007186,0.8018509640306428,1.263838895189606,1.256960274032223,1237
base,merge 0 (identical ts),mix_const,42300.0,42900.0,42600.0,1429,0.6351286830022617,0.04775818928328219,0.8686961024299361,True,34.69649144202736,,0.02343 0.03975 0.05945 0.00000 0.11198 0.00000 0.12629 0.10410 0.00000 0.00000 0.10772 0.00000 0.06241,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,False,1.4002114565859383,1.532410933872217,0.02833086396471285,0.19776012263083598,17.755743380339904,0.05922636096138148,0.967079536797103,0.3335042742964145,1.5797484522013923,1.5795657319730805,1393
base,merge 0 (identical ts),mix_const,42600.0,43200.0,42900.0,1237,0.5420826207596731,0.06897215265016164,0.9442468820595628,True,61.59438087969411,,0.05256 0.00000 0.08076 0.01049 0.05679 0.00000 0.10681 0.06916 0.00000 0.00000 0.13411 0.00000 0.03140,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,False,0.9946336023809774,1.271118885204636,0.021163151652714984,0.6288353162082654,10.254248484207663,0.4184776158469757,-0.5911720742719123,0.5544051317867749,1.9449225234773357,1.859283915092847,1934
base,merge 0 (identical ts),mix_const,42900.0,43500.0,43200.0,1393,0.6557544154757214,0.04968326787988045,0.8010706105433603,True,636.4290049374763,,0.05656 0.00000 0.08574 0.02110 0.09677 0.00000 0.10207 0.06211 0.01591 0.01660 0.01570 0.06380 0.11940,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,False,1.4351799690725042,1.5928946505088448,0.017256892470864316,0.7943701053124099,14.168010853145375,0.16546513571438576,0.5397167605840688,0.5893923794661586,1.6474523473811804,1.614587816817318,1833
base,merge 0 (identical ts),mix_const,43200.0,43800.0,43500.0,1934,0.7537527566658488,0.032961052029481214,0.7918193136105217,True,169.128823425397,,0.03334 0.00000 0.09549 0.03597 0.11140 0.06640 0.09370 0.05780 0.05051 0.00000 0.05128 0.00000 0.15787,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,False,2.0761473121651024,1.905731291368009,0.018619810442571938,0.507834789225786,63.60998044104676,7.470204417294292e-10,1.1958139722842809,0.23176916216613364,1.3696779437308804,1.2674336700946374,1270
base,merge 0 (identical ts),mix_const,43500.0,44100.0,43800.0,1833,0.7103368931434351,0.03703462826223866,0.886835368473606,True,271.7540226522022,,0.00593 0.03925 0.04349 0.06565 0.08117 0.07522 0.07923 0.06822 0.03995 0.00000 0.04815 0.03997 0.12409,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,False,1.7504587042782493,1.6336791116546907,0.021075542763587307,0.3842409404444129,67.95852657691238,1.0970658442044923e-10,0.2941202689354598,0.7686660031602794,1.5316055751177318,1.376687272941851,1086
