scenario,seed,fitter,n_events,n_hat,converged,loglik,n_true,n_true_within_60s,bias,bias_within_60s
exp_0.9,2,classical_spline,2425,0.920194283921361,True,3016.668986255802,0.9,0.9,0.020194283921361023,0.020194283921361023
exp_0.9,2,neural_const,2425,0.9160543566096568,True,3023.9748055298624,0.9,0.9,0.016054356609656817,0.016054356609656817
exp_0.9,2,neural_mlp,2425,0.912412413003805,True,3026.7153048145597,0.9,0.9,0.012412413003805023,0.012412413003805023
exp_0.9,3,classical_const,1829,0.8754220980043292,True,1154.5579407426208,0.9,0.9,-0.02457790199567078,-0.02457790199567078
exp_0.9,3,classical_spline,1829,0.8704006311201097,True,1156.3827493933904,0.9,0.9,-0.029599368879890342,-0.029599368879890342
exp_0.9,3,neural_const,1829,0.8657509545034194,True,1158.9791308205085,0.9,0.9,-0.03424904549658059,-0.03424904549658059
exp_0.9,3,neural_mlp,1829,0.84869962422653,True,1162.6027992226946,0.9,0.9,-0.05130037577347002,-0.05130037577347002
exp_0.9,4,classical_const,1564,0.8998038201489997,True,965.9116520922912,0.9,0.9,-0.00019617985100028879,-0.00019617985100028879
exp_0.9,4,classical_spline,1564,0.8748862957953871,True,970.7283625201792,0.9,0.9,-0.025113704204612897,-0.025113704204612897
exp_0.9,4,neural_const,1564,0.87172682122488,True,969.2672733586928,0.9,0.9,-0.028273178775120034,-0.028273178775120034
exp_0.9,4,neural_mlp,1564,0.8479343671294485,True,983.225090169688,0.9,0.9,-0.05206563287055155,-0.05206563287055155
exp_0.9,5,classical_const,1510,0.8568504350192054,True,873.6807001728198,0.9,0.9,-0.043149564980794586,-0.043149564980794586
exp_0.9,5,classical_spline,1510,0.8550254374496215,True,875.276337001623,0.9,0.9,-0.04497456255037857,-0.04497456255037857
exp_0.9,5,neural_const,1510,0.850407799255493,True,880.4024971602739,0.9,0.9,-0.04959220074450699,-0.04959220074450699
exp_0.9,5,neural_mlp,1510,0.8124829281638388,True,890.3147190319282,0.9,0.9,-0.0875170718361612,-0.0875170718361612
exp_0.9,6,classical_const,1892,0.9097034757692789,True,2012.9672648494711,0.9,0.9,0.00970347576927888,0.00970347576927888
exp_0.9,6,classical_spline,1892,0.9044806716412819,True,2014.7853929339128,0.9,0.9,0.004480671641281853,0.004480671641281853
exp_0.9,6,neural_const,1892,0.9051410708003881,True,2024.469115298778,0.9,0.9,0.005141070800388059,0.005141070800388059
exp_0.9,6,neural_mlp,1892,0.9000815000923944,True,2026.8080215839507,0.9,0.9,8.150009239438205e-05,8.150009239438205e-05
exp_0.9,7,classical_const,1729,0.8938054705339177,True,1966.9244618162106,0.9,0.9,-0.0061945294660823436,-0.0061945294660823436
exp_0.9,7,classical_spline,1729,0.8909325705806334,True,1967.8163520139572,0.9,0.9,-0.009067429419366668,-0.009067429419366668
exp_0.9,7,neural_const,1729,0.8923281555744704,True,1968.1100917198833,0.9,0.9,-0.007671844425529595,-0.007671844425529595
exp_0.9,7,neural_mlp,1729,0.8886664331218374,True,1969.1125790560766,0.9,0.9,-0.01133356687816267,-0.01133356687816267
exp_0.9,8,classical_const,1554,0.8883226781721323,True,1007.8343170799649,0.9,0.9,-0.011677321827867737,-0.011677321827867737
exp_0.9,8,classical_spline,1554,0.8809722983288721,True,1010.6530793321238,0.9,0.9,-0.019027701671127883,-0.019027701671127883
exp_0.9,8,neural_const,1554,0.8892289813081116,True,1009.2404244291979,0.9,0.9,-0.010771018691888457,-0.010771018691888457
exp_0.9,8,neural_mlp,1554,0.8649836743238659,True,1015.2506474769818,0.9,0.9,-0.03501632567613411,-0.03501632567613411
exp_0.9,9,classical_const,2059,0.8907241008055821,True,1928.1763427904662,0.9,0.9,-0.009275899194417958,-0.009275899194417958
exp_0.9,9,classical_spline,2059,0.8867667740467507,True,1929.5491899631552,0.9,0.9,-0.013233225953249272,-0.013233225953249272
exp_0.9,9,neural_const,2059,0.8862937746732842,True,1929.657061032814,0.9,0.9,-0.013706225326715837,-0.013706225326715837
exp_0.9,9,neural_mlp,2059,0.8756893867634175,True,1933.0192263577594,0.9,0.9,-0.024310613236582568,-0.024310613236582568
mixture_0.6,0,classical_const,1939,0.6062145981212392,True,1053.6163890666257,0.6,0.6,0.0062145981212392565,0.0062145981212392565
mixture_0.6,0,classical_spline,1939,0.5930477381004606,True,1056.6398713055203,0.6,0.6,-0.006952261899539347,-0.006952261899539347
mixture_0.6,0,neural_const,1939,0.6064125570825124,True,1052.838921980811,0.6,0.6,0.006412557082512427,0.006412557082512427
mixture_0.6,0,neural_mlp,1939,0.5950780401863187,True,1056.928394666729,0.6,0.6,-0.004921959813681265,-0.004921959813681265
mixture_0.6,1,classical_const,2152,0.6175089799146571,True,1357.8260931374402,0.6,0.6,0.017508979914657163,0.017508979914657163
mixture_0.6,1,classical_spline,2152,0.608492443369869,True,1359.471464272303,0.6,0.6,0.008492443369868985,0.008492443369868985
mixture_0.6,1,neural_const,2152,0.6193730967107757,True,1353.5868336168135,0.6,0.6,0.019373096710775695,0.019373096710775695
mixture_0.6,1,neural_mlp,2152,0.6035477198581283,True,1356.6536802400385,0.6,0.6,0.0035477198581282954,0.0035477198581282954
mixture_0.6,2,classical_const,1830,0.6012396933825946,True,853.8886576782209,0.6,0.6,0.0012396933825946643,0.0012396933825946643
mixture_0.6,2,classical_spline,1830,0.5777952111967575,True,856.298325348635,0.6,0.6,-0.022204788803242503,-0.022204788803242503
mixture_0.6,2,neural_const,1830,0.5721320961988826,True,855.2738385598038,0.6,0.6,-0.027867903801117366,-0.027867903801117366
mixture_0.6,2,neural_mlp,1830,0.5563433045361357,True,859.0599523415916,0.6,0.6,-0.0436566954638643,-0.0436566954638643
mixture_0.6,3,classical_const,2192,0.6562161150909795,True,1386.7869566932718,0.6,0.6,0.05621611509097957,0.05621611509097957
mixture_0.6,3,classical_spline,2192,0.6056838276075758,True,1389.2660711970047,0.6,0.6,0.005683827607575798,0.005683827607575798
mixture_0.6,3,neural_const,2192,0.6537211127542577,True,1387.8481651318384,0.6,0.6,0.05372111275425773,0.05372111275425773
mixture_0.6,3,neural_mlp,2192,0.5847454121964765,True,1390.1098199705923,0.6,0.6,-0.015254587803523512,-0.015254587803523512
mixture_0.6,4,classical_const,1900,0.598478282430281,True,926.1437573082728,0.6,0.6,-0.0015217175697189722,-0.0015217175697189722
mixture_0.6,4,classical_spline,1900,0.5528535802469239,True,930.8682041402319,0.6,0.6,-0.047146419753076096,-0.047146419753076096
mixture_0.6,4,neural_const,1900,0.5836518993367484,True,927.3767396298845,0.6,0.6,-0.01634810066325154,-0.01634810066325154
mixture_0.6,4,neural_mlp,1900,0.5100849919075156,True,937.6617007204425,0.6,0.6,-0.08991500809248443,-0.08991500809248443
mixture_0.6,5,classical_const,1884,0.5729689222181209,True,941.2818558264253,0.6,0.6,-0.027031077781879076,-0.027031077781879076
mixture_0.6,5,classical_spline,1884,0.5538265734134314,True,945.2827591541293,0.6,0.6,-0.04617342658656853,-0.04617342658656853
mixture_0.6,5,neural_const,1884,0.5861414978292937,True,945.4104576596876,0.6,0.6,-0.013858502170706277,-0.013858502170706277
mixture_0.6,5,neural_mlp,1884,0.5478309350282309,True,946.9592354472181,0.6,0.6,-0.0521690649717691,-0.0521690649717691
mixture_0.6,6,classical_const,1884,0.56947044273259,True,914.2310870797769,0.6,0.6,-0.030529557267410024,-0.030529557267410024
mixture_0.6,6,classical_spline,1884,0.5322639234737295,True,917.911534079331,0.6,0.6,-0.06773607652627045,-0.06773607652627045
mixture_0.6,6,neural_const,1884,0.5430792142820626,True,917.134070513491,0.6,0.6,-0.05692078571793735,-0.05692078571793735
mixture_0.6,6,neural_mlp,1884,0.5311016569037934,True,925.0367540302815,0.6,0.6,-0.06889834309620657,-0.06889834309620657
mixture_0.6,7,classical_const,1729,0.589202969263736,True,682.1017399687119,0.6,0.6,-0.010797030736263924,-0.010797030736263924
mixture_0.6,7,classical_spline,1729,0.5682698580196294,True,683.5704707412749,0.6,0.6,-0.03173014198037061,-0.03173014198037061
mixture_0.6,7,neural_const,1729,0.5838100186032353,True,680.5640131906424,0.6,0.6,-0.01618998139676464,-0.01618998139676464
mixture_0.6,7,neural_mlp,1729,0.5405641588266277,True,683.8232764534544,0.6,0.6,-0.059435841173372306,-0.059435841173372306
mixture_0.6,8,classical_const,1937,0.533727097455358,True,1035.8297241767139,0.6,0.6,-0.06627290254464202,-0.06627290254464202
mixture_0.6,8,classical_spline,1937,0.5247684857305395,True,1038.2646419134066,0.6,0.6,-0.07523151426946051,-0.07523151426946051
mixture_0.6,8,neural_const,1937,0.552587411336516,True,1035.0276554557286,0.6,0.6,-0.04741258866348397,-0.04741258866348397
mixture_0.6,8,neural_mlp,1937,0.521103614680016,True,1037.616067463845,0.6,0.6,-0.078896385319984,-0.078896385319984
mixture_0.6,9,classical_const,2016,0.5648309691399548,True,1124.1803881572448,0.6,0.6,-0.03516903086004519,-0.03516903086004519
mixture_0.6,9,classical_spline,2016,0.562554938275099,True,1124.429025010801,0.6,0.6,-0.03744506172490103,-0.03744506172490103
mixture_0.6,9,neural_const,2016,0.5630498476610497,True,1123.1136195425984,0.6,0.6,-0.03695015233895027,-0.03695015233895027
mixture_0.6,9,neural_mlp,2016,0.5606605077864834,True,1121.7464089407965,0.6,0.6,-0.039339492213516625,-0.039339492213516625
power_law_0.9,0,classical_const,1868,0.49867975831186906,True,304.3592803900149,0.7134499693250942,0.5553237663762093,-0.21477021101322513,-0.05664400806434022
power_law_0.9,0,classical_spline,1868,0.3219465635629221,True,309.78151499620526,0.7134499693250942,0.5553237663762093,-0.3915034057621721,-0.23337720281328717
power_law_0.9,0,neural_const,1868,0.5130112774849364,True,306.2764495225655,0.7134499693250942,0.5553237663762093,-0.20043869184015783,-0.042312488891272926
power_law_0.9,0,neural_mlp,1868,0.27786694489417524,True,314.8990357060476,0.7134499693250942,0.5553237663762093,-0.43558302443091895,-0.27745682148203404
power_law_0.9,1,classical_const,2068,0.47832925747547445,True,558.3724828920804,0.7134499693250942,0.5553237663762093,-0.23512071184961975,-0.07699450890073484
power_law_0.9,1,classical_spline,2068,0.4457822882250062,True,560.3011150876328,0.7134499693250942,0.5553237663762093,-0.267667681100088,-0.10954147815120308
power_law_0.9,1,neural_const,2068,0.4948342950058378,True,558.0591100213742,0.7134499693250942,0.5553237663762093,-0.21861567431925638,-0.06048947137037147
power_law_0.9,1,neural_mlp,2068,0.3174556917291874,True,569.4882224431583,0.7134499693250942,0.5553237663762093,-0.3959942775959068,-0.23786807464702187
power_law_0.9,2,classical_const,1959,0.5246056793555969,True,410.29228453013434,0.7134499693250942,0.5553237663762093,-0.18884428996949731,-0.030718087020612406
power_law_0.9,2,classical_spline,1959,0.43864928763297917,True,411.8646846286906,0.7134499693250942,0.5553237663762093,-0.274800681692115,-0.11667447874323011
power_law_0.9,2,neural_const,1959,0.5078739187640522,True,410.48773357204516,0.7134499693250942,0.5553237663762093,-0.205576050561042,-0.04744984761215709
power_law_0.9,2,neural_mlp,1959,0.24588051770410033,True,421.75026233871756,0.7134499693250942,0.5553237663762093,-0.46756945162099384,-0.30944324867210893
power_law_0.9,3,classical_const,1950,0.38765854519887555,True,396.70482330577397,0.7134499693250942,0.5553237663762093,-0.32579142412621864,-0.16766522117733373
power_law_0.9,3,classical_spline,1950,0.2557665572533949,True,401.2364940728744,0.7134499693250942,0.5553237663762093,-0.45768341207169927,-0.29955720912281436
power_law_0.9,3,neural_const,1950,0.37984437471612176,True,394.937863220247,0.7134499693250942,0.5553237663762093,-0.33360559460897243,-0.17547939166008752
power_law_0.9,3,neural_mlp,1950,0.25226743822630354,True,400.14230555415946,0.7134499693250942,0.5553237663762093,-0.46118253109879065,-0.30305632814990574
power_law_0.9,4,classical_const,1885,0.48803269557309914,True,354.0485755911884,0.7134499693250942,0.5553237663762093,-0.22541727375199505,-0.06729107080311014
power_law_0.9,4,classical_spline,1885,0.43840792531368517,True,356.21464586595835,0.7134499693250942,0.5553237663762093,-0.275042044011409,-0.11691584106252412
power_law_0.9,4,neural_const,1885,0.4857672669473067,True,354.4857271573252,0.7134499693250942,0.5553237663762093,-0.22768270237778748,-0.06955649942890257
power_law_0.9,4,neural_mlp,1885,0.40371539939157824,True,359.1866160173563,0.7134499693250942,0.5553237663762093,-0.30973456993351595,-0.15160836698463104
power_law_0.9,5,classical_const,2068,0.337522418989262,True,550.5876366111079,0.7134499693250942,0.5553237663762093,-0.3759275503358322,-0.21780134738694729
power_law_0.9,5,classical_spline,2068,0.2898361121737073,True,553.1847160476314,0.7134499693250942,0.5553237663762093,-0.4236138571513869,-0.265487654202502
power_law_0.9,5,neural_const,2068,0.35500074914387214,True,552.7905702763064,0.7134499693250942,0.5553237663762093,-0.35844922018122205,-0.20032301723233714
power_law_0.9,5,neural_mlp,2068,0.23802984059341933,True,557.5310103952135,0.7134499693250942,0.5553237663762093,-0.47542012873167483,-0.3172939257827899
power_law_0.9,6,classical_const,2051,0.4354306997540042,True,520.2029048000513,0.7134499693250942,0.5553237663762093,-0.27801926957108997,-0.11989306662220506
power_law_0.9,6,classical_spline,2051,0.38637582241401125,True,522.7956905942651,0.7134499693250942,0.5553237663762093,-0.32707414691108294,-0.16894794396219803
power_law_0.9,6,neural_const,2051,0.4167458041984115,True,520.5398238819339,0.7134499693250942,0.5553237663762093,-0.2967041651266827,-0.13857796217779778
power_law_0.9,6,neural_mlp,2051,0.3620966502850764,True,524.4470881469639,0.7134499693250942,0.5553237663762093,-0.35135331904001776,-0.19322711609113286
power_law_0.9,7,classical_const,2020,0.495904061768345,True,491.103605805029,0.7134499693250942,0.5553237663762093,-0.21754590755674919,-0.05941970460786428
power_law_0.9,7,classical_spline,2020,0.4092542767461256,True,492.5302723364139,0.7134499693250942,0.5553237663762093,-0.3041956925789686,-0.1460694896300837
power_law_0.9,7,neural_const,2020,0.494926848649619,True,491.5430445299926,0.7134499693250942,0.5553237663762093,-0.2185231206754752,-0.06039691772659028
power_law_0.9,7,neural_mlp,2020,0.3001182858044719,True,491.87473738208746,0.7134499693250942,0.5553237663762093,-0.4133316835206223,-0.25520548057173736
power_law_0.9,8,classical_const,1876,0.3944040823992147,True,321.5575165382122,0.7134499693250942,0.5553237663762093,-0.3190458869258795,-0.16091968397699458
power_law_0.9,8,classical_spline,1876,0.3849823652441174,True,321.8394063176013,0.7134499693250942,0.5553237663762093,-0.3284676040809768,-0.1703414011320919
power_law_0.9,8,neural_const,1876,0.43301660401363556,True,321.14639642493285,0.7134499693250942,0.5553237663762093,-0.2804333653114586,-0.12230716236257372
power_law_0.9,8,neural_mlp,1876,0.39714205163556043,True,321.65012490216645,0.7134499693250942,0.5553237663762093,-0.31630791768953376,-0.15818171474064885
power_law_0.9,9,classical_const,2090,0.367147402909438,True,596.9239953522324,0.7134499693250942,0.5553237663762093,-0.3463025664156562,-0.1881763634667713
power_law_0.9,9,classical_spline,2090,0.36596098375088565,True,597.2510032295427,0.7134499693250942,0.5553237663762093,-0.34748898557420854,-0.18936278262532363
power_law_0.9,9,neural_const,2090,0.35537195607207595,True,597.682788483076,0.7134499693250942,0.5553237663762093,-0.35807801325301825,-0.19995181030413334
power_law_0.9,9,neural_mlp,2090,0.3208422971534543,True,602.1963885038956,0.7134499693250942,0.5553237663762093,-0.3926076721716399,-0.23448146922275498
smooth_mu_0.3,0,classical_const,2005,0.952792434445229,True,814.1125162275657,0.3,0.3,0.6527924344452289,0.6527924344452289
smooth_mu_0.3,0,classical_spline,2005,0.4350365796249464,True,828.9094066261362,0.3,0.3,0.13503657962494642,0.13503657962494642
smooth_mu_0.3,0,neural_const,2005,0.9623537513678105,True,817.0168242759805,0.3,0.3,0.6623537513678106,0.6623537513678106
smooth_mu_0.3,0,neural_mlp,2005,0.3538099456643331,True,838.2456463468808,0.3,0.3,0.053809945664333114,0.053809945664333114
smooth_mu_0.3,1,classical_const,2102,0.9497931149905213,True,876.6274683492584,0.3,0.3,0.6497931149905214,0.6497931149905214
smooth_mu_0.3,1,classical_spline,2102,0.28781286135467976,True,892.6054261455129,0.3,0.3,-0.012187138645320228,-0.012187138645320228
smooth_mu_0.3,1,neural_const,2102,0.9537315639626832,True,878.6432210973253,0.3,0.3,0.6537315639626833,0.6537315639626833
